Head_X,Head_Y,Head_Z,Neck_X,Neck_Y,Neck_Z,SpineShoulder_X,SpineShoulder_Y,SpineShoulder_Z,SpineMid_X,SpineMid_Y,SpineMid_Z,ShoulderRight_X,ShoulderRight_Y,ShoulderRight_Z,ShoulderLeft_X,ShoulderLeft_Y,ShoulderLeft_Z,SpineBase_X,SpineBase_Y,SpineBase_Z,HipRight_X,HipRight_Y,HipRight_Z,HipLeft_X,HipLeft_Y,HipLeft_Z,ElbowRight_X,ElbowRight_Y,ElbowRight_Z,WristRight_X,WristRight_Y,WristRight_Z,HandRight_X,HandRight_Y,HandRight_Z,HandTipRight_X,HandTipRight_Y,HandTipRight_Z,ThumbRight_X,ThumbRight_Y,ThumbRight_Z,ElbowLeft_X,ElbowLeft_Y,ElbowLeft_Z,WristLeft_X,WristLeft_Y,WristLeft_Z,HandLeft_X,HandLeft_Y,HandLeft_Z,HandTipLeft_X,HandTipLeft_Y,HandTipLeft_Z,ThumbLeft_X,ThumbLeft_Y,ThumbLeft_Z,KneeRight_X,KneeRight_Y,KneeRight_Z,AnkleRight_X,AnkleRight_Y,AnkleRight_Z,FootRight_X,FootRight_Y,FootRight_Z,KneeLeft_X,KneeLeft_Y,KneeLeft_Z,AnkleLeft_X,AnkleLeft_Y,AnkleLeft_Z,FootLeft_X,FootLeft_Y,FootLeft_Z
0.445829,0.700388,2.587541,0.440740,0.612379,2.558122,0.436659,0.553887,2.547598,0.423601,0.374375,2.508908,0.518067,0.631536,2.545095,0.356959,0.486186,2.445540,0.406682,0.128461,2.450318,0.429949,0.130713,2.459008,0.376164,0.124279,2.382496,0.510364,0.449271,2.483539,0.503685,0.269115,2.426633,0.510403,0.249070,2.411640,0.517078,0.195734,2.405299,0.533479,0.254211,2.422400,0.358876,0.316139,2.352396,0.399281,0.141318,2.294685,0.424645,0.097474,2.268132,0.459328,0.054238,2.252561,0.460866,0.108723,2.280286,0.347806,-0.062582,2.361579,0.406702,-0.412660,2.408124,0.423549,-0.431408,2.311349,0.355859,-0.169439,2.370373,0.294082,-0.870146,2.415864,0.321216,-0.914764,2.373126
0.460418,0.697559,2.586392,0.464261,0.605652,2.553992,0.458943,0.548094,2.543246,0.441833,0.371324,2.504087,0.534301,0.628466,2.541905,0.372574,0.482256,2.438109,0.418697,0.128834,2.445371,0.442495,0.134023,2.451884,0.385868,0.121645,2.379756,0.523563,0.446505,2.479704,0.515203,0.266543,2.422309,0.528417,0.245508,2.408459,0.530566,0.194917,2.401338,0.544791,0.238185,2.411428,0.364199,0.310185,2.349490,0.428750,0.144672,2.286558,0.448943,0.095641,2.263649,0.482076,0.054044,2.245292,0.461206,0.138186,2.251000,0.451421,-0.155364,2.365574,0.534984,-0.499059,2.415418,0.552079,-0.517061,2.319670,0.356561,-0.171293,2.369689,0.277583,-0.858952,2.418401,0.309751,-0.902141,2.381767
0.472476,0.693452,2.584898,0.473906,0.603486,2.553187,0.469393,0.546119,2.541531,0.455092,0.370218,2.499027,0.552353,0.630868,2.536834,0.381499,0.477978,2.438421,0.436029,0.130172,2.433993,0.460961,0.134213,2.436103,0.400728,0.123224,2.372643,0.547378,0.447083,2.480933,0.542170,0.266119,2.427031,0.542750,0.234855,2.397957,0.527472,0.183878,2.378958,0.561557,0.215737,2.402539,0.383123,0.304374,2.353120,0.472071,0.146133,2.306518,0.473662,0.102713,2.261176,0.478350,0.075401,2.254670,0.478644,0.135820,2.238333,0.469622,-0.158815,2.374612,0.595693,-0.491433,2.409422,0.606193,-0.508894,2.311851,0.362404,-0.168573,2.366268,0.248255,-0.856588,2.419544,0.286075,-0.896510,2.387765
0.486744,0.689694,2.582595,0.474463,0.603275,2.553204,0.470810,0.545795,2.541438,0.461177,0.369627,2.498285,0.560551,0.630086,2.535531,0.386791,0.475675,2.437240,0.451884,0.129375,2.432380,0.477077,0.132950,2.436425,0.415965,0.122770,2.369489,0.558819,0.446907,2.477162,0.544868,0.285772,2.375865,0.551353,0.240351,2.379119,0.543451,0.189083,2.364609,0.579233,0.229233,2.402400,0.387290,0.302040,2.351984,0.478916,0.145172,2.306291,0.490130,0.104767,2.265442,0.496176,0.078493,2.261132,0.529098,0.119067,2.251250,0.469465,-0.159530,2.367169,0.619611,-0.481829,2.402081,0.628567,-0.499277,2.304211,0.375558,-0.168395,2.367214,0.279636,-0.513791,2.388819,0.292421,-0.530708,2.290345
0.506360,0.674562,2.582803,0.521699,0.576405,2.544339,0.517371,0.521210,2.532762,0.498195,0.354002,2.491761,0.610542,0.617491,2.533502,0.420161,0.452450,2.438653,0.470002,0.124421,2.429850,0.497480,0.124755,2.436679,0.431976,0.120604,2.364674,0.589661,0.435553,2.474124,0.571125,0.267669,2.386352,0.575737,0.223892,2.388584,0.574594,0.172446,2.382588,0.593261,0.219257,2.398059,0.437089,0.282895,2.346953,0.519539,0.121403,2.299849,0.531727,0.083769,2.256130,0.591983,0.051980,2.257559,0.546587,0.113845,2.246100,0.475600,-0.166538,2.362658,0.643579,-0.480511,2.392181,0.648849,-0.497819,2.293644,0.383350,-0.169202,2.364811,0.268579,-0.508779,2.387903,0.278091,-0.525601,2.288662
0.514945,0.670368,2.583065,0.524131,0.575244,2.546363,0.519999,0.519638,2.534590,0.504584,0.349142,2.493047,0.611052,0.555953,2.544477,0.428086,0.450527,2.440295,0.485569,0.112517,2.428964,0.514883,0.112724,2.435914,0.444625,0.109729,2.363648,0.591888,0.378191,2.471745,0.582522,0.213649,2.376375,0.582281,0.176555,2.376749,0.578536,0.143423,2.351586,0.589287,0.165433,2.373143,0.437144,0.279834,2.349547,0.527378,0.125729,2.291621,0.551643,0.102565,2.264084,0.576707,0.082591,2.257324,0.569961,0.103681,2.262200,0.491311,-0.171710,2.362248,0.651262,-0.489586,2.393586,0.667288,-0.507489,2.298139,0.390743,-0.179082,2.364178,0.253602,-0.510404,2.386915,0.274118,-0.527889,2.290711
0.518123,0.669953,2.584718,0.530700,0.572508,2.550247,0.526330,0.516807,2.538007,0.511166,0.345906,2.494984,0.613550,0.556575,2.545147,0.439368,0.448646,2.444333,0.490372,0.110613,2.429522,0.519202,0.110006,2.436647,0.449922,0.108611,2.364014,0.594965,0.378967,2.471817,0.584440,0.213592,2.378123,0.582906,0.179839,2.368525,0.579627,0.154266,2.355918,0.590834,0.172062,2.370202,0.443759,0.277621,2.353821,0.546727,0.126352,2.317741,0.577640,0.103225,2.285191,0.590294,0.083202,2.274566,0.587552,0.082816,2.264000,0.554183,-0.179725,2.381450,0.690321,-0.509922,2.402113,0.705425,-0.527565,2.306595,0.407860,-0.181758,2.365705,0.245752,-0.502267,2.386121,0.265818,-0.519763,2.289673
0.927373,-0.738271,3.968919,0.868422,-0.814207,3.936978,0.852929,-0.840985,3.944268,0.804881,-0.920537,3.960315,0.980877,-0.817890,3.911691,0.765203,-0.899631,3.941239,0.739108,-1.026138,3.976100,0.783729,-1.001859,3.946739,0.686138,-1.038824,3.960536,1.033163,-0.879803,3.873245,0.915480,-0.901332,3.887975,0.876383,-0.912313,3.901051,0.832072,-0.924746,3.903615,0.893007,-0.939364,3.880929,0.685738,-0.989270,3.930187,0.743773,-0.883029,3.921241,0.775769,-0.853181,3.921936,0.792336,-0.805800,3.913533,0.780098,-0.864417,3.906200,0.576070,-1.094637,3.940617,0.864335,-1.080587,3.892298,0.846465,-1.099985,3.801590,0.803136,-0.841151,3.940307,0.628103,-0.968437,3.937120,0.707879,-0.978652,3.900868
0.523373,0.669988,2.585867,0.537664,0.573091,2.557121,0.534067,0.517018,2.544854,0.521863,0.344964,2.501421,0.617996,0.557027,2.547052,0.446223,0.447660,2.448345,0.505356,0.108925,2.435821,0.534256,0.108029,2.443002,0.464292,0.107238,2.370207,0.602524,0.379080,2.473974,0.597175,0.212608,2.382047,0.596842,0.171734,2.378699,0.598594,0.118102,2.355576,0.605297,0.154974,2.376556,0.449377,0.275642,2.359932,0.548941,0.125531,2.308735,0.583454,0.091237,2.285243,0.615898,0.040102,2.278545,0.570200,0.124292,2.292500,0.550270,-0.177268,2.372831,0.682345,-0.508586,2.398955,0.696690,-0.526144,2.303103,0.427208,-0.184141,2.367947,0.236432,-0.488916,2.386346,0.255772,-0.506475,2.289544
0.977820,-0.748349,3.951257,0.935172,-0.807202,3.924771,0.931933,-0.842085,3.927514,0.920959,-0.946191,3.930711,1.047549,-0.810990,3.900029,0.832143,-0.892636,3.929566,0.905068,-1.084791,3.930070,0.949365,-1.061072,3.912971,0.852022,-1.098026,3.909187,1.008902,-0.901993,3.879270,0.985980,-0.768086,3.892640,0.961304,-0.726850,3.902500,0.936625,-0.685440,3.908077,0.939898,-0.729330,3.898858,0.921705,-0.986964,3.892731,0.925632,-0.850470,3.898808,0.928777,-0.816298,3.902678,0.928925,-0.767671,3.910054,0.958023,-0.813860,3.879167,0.744326,-0.990895,3.922126,0.991068,-0.919927,3.887733,1.001057,-0.993649,3.855649,0.926239,-0.898102,3.922714,0.654934,-1.038211,3.923023,0.725768,-1.062233,3.890461
0.537316,0.674211,2.589191,0.544108,0.574480,2.559627,0.541162,0.518195,2.547953,0.531058,0.345431,2.506376,0.621415,0.557904,2.548199,0.455027,0.448496,2.447599,0.516977,0.108760,2.444100,0.546502,0.107027,2.456322,0.475533,0.107748,2.374668,0.609100,0.379539,2.475750,0.599341,0.213922,2.382455,0.612711,0.173858,2.390224,0.612701,0.122182,2.373234,0.630692,0.161325,2.395471,0.455664,0.276458,2.359098,0.553530,0.122004,2.321854,0.562453,0.076408,2.284791,0.618492,0.029838,2.280546,0.603006,0.112933,2.348000,0.517197,-0.182626,2.376674,0.651047,-0.512212,2.410953,0.667543,-0.529916,2.315666,0.436743,-0.183777,2.369300,0.238747,-0.484102,2.386582,0.259841,-0.501897,2.290431
0.543148,0.678694,2.591022,0.548919,0.578154,2.563412,0.546041,0.521138,2.551721,0.536164,0.346476,2.510004,0.624434,0.559378,2.549273,0.461396,0.450455,2.448643,0.522393,0.107710,2.447713,0.551015,0.105150,2.461330,0.481657,0.107546,2.376620,0.612286,0.380811,2.477371,0.614904,0.210843,2.392780,0.623087,0.180790,2.405589,0.616373,0.127441,2.381318,0.641058,0.195717,2.412333,0.453144,0.265318,2.402254,0.550720,0.114600,2.348793,0.554683,0.080996,2.294282,0.610253,0.046792,2.303564,0.592093,0.104529,2.313334,0.529870,-0.184845,2.380851,0.641695,-0.522300,2.419343,0.658959,-0.539971,2.324288,0.445707,-0.184399,2.369993,0.237274,-0.477590,2.391097,0.259030,-0.495533,2.295172
0.545457,0.681997,2.594147,0.553080,0.586522,2.569049,0.550192,0.527429,2.556547,0.540132,0.348297,2.512919,0.627430,0.562205,2.554705,0.462817,0.452404,2.451205,0.527263,0.105582,2.449508,0.554950,0.100754,2.462447,0.487983,0.107637,2.379056,0.617725,0.383526,2.482788,0.617726,0.213969,2.397177,0.627280,0.172411,2.415920,0.616949,0.127481,2.386715,0.633233,0.164973,2.408445,0.463786,0.274694,2.376780,0.551631,0.114488,2.338009,0.558010,0.071978,2.299150,0.610659,0.031209,2.305070,0.579064,0.105198,2.289636,0.532278,-0.188859,2.380529,0.617870,-0.533376,2.425529,0.636033,-0.550965,2.330660,0.450091,-0.184162,2.371869,0.242132,-0.477834,2.395181,0.264458,-0.495824,2.299492
0.547852,0.684882,2.596752,0.551690,0.586567,2.568512,0.549545,0.527568,2.556426,0.540291,0.348491,2.513289,0.626565,0.578310,2.552471,0.461437,0.453594,2.451650,0.529680,0.106021,2.451695,0.555502,0.100410,2.462807,0.493221,0.110233,2.384342,0.617644,0.398491,2.483695,0.607034,0.227246,2.402229,0.622736,0.189106,2.421232,0.618291,0.141951,2.399244,0.636687,0.194403,2.423700,0.463208,0.275908,2.377180,0.545381,0.112678,2.338141,0.546190,0.068192,2.305333,0.549809,0.013487,2.301641,0.582333,0.080919,2.284476,0.536763,-0.189219,2.379928,0.611795,-0.535001,2.432098,0.627385,-0.552389,2.336196,0.455799,-0.181773,2.375699,0.271426,-0.490624,2.398965,0.290763,-0.508289,2.302324
0.555006,0.687994,2.603431,0.556257,0.596042,2.572754,0.553158,0.537471,2.561303,0.541515,0.358937,2.520072,0.642190,0.634250,2.560820,0.465594,0.462610,2.455596,0.525767,0.116090,2.459555,0.549260,0.104963,2.477306,0.489527,0.128168,2.386238,0.627944,0.452905,2.497216,0.614024,0.279802,2.420348,0.614156,0.231930,2.423463,0.611606,0.182647,2.407079,0.631543,0.225845,2.423000,0.458755,0.286227,2.377515,0.540539,0.129315,2.313782,0.550253,0.073173,2.305264,0.583333,0.030043,2.295162,0.576961,0.112128,2.305667,0.536688,-0.185476,2.391785,0.572747,-0.536929,2.449783,0.584174,-0.554064,2.352315,0.417857,-0.058587,2.471929,0.348909,-0.412749,2.445400,0.362768,-0.431165,2.347228
0.557436,0.692513,2.605124,0.557976,0.601131,2.577492,0.554569,0.542590,2.565802,0.542302,0.363671,2.523715,0.641006,0.631989,2.561519,0.463792,0.474212,2.464435,0.525450,0.119822,2.461596,0.548599,0.109405,2.476821,0.489613,0.130207,2.389979,0.630566,0.449678,2.500668,0.614032,0.276603,2.424260,0.610070,0.225982,2.427950,0.609218,0.176387,2.410464,0.626671,0.219729,2.422422,0.403774,0.295323,2.440733,0.489013,0.139126,2.380079,0.511112,0.134051,2.317188,0.543557,0.088661,2.298375,0.553086,0.171800,2.314875,0.597827,-0.170676,2.369811,0.575400,-0.520967,2.443327,0.585076,-0.538131,2.345368,0.506797,-0.138899,2.475570,0.422109,-0.484716,2.402989,0.433383,-0.502123,2.304651
0.558011,0.697985,2.610774,0.558082,0.602372,2.578162,0.554548,0.543514,2.566437,0.542076,0.363913,2.524281,0.637271,0.626463,2.560159,0.462088,0.478504,2.468009,0.524531,0.119235,2.462379,0.546972,0.109825,2.474447,0.487724,0.125266,2.397143,0.626046,0.444388,2.498622,0.592419,0.274031,2.421240,0.600823,0.223811,2.426694,0.595126,0.173383,2.402607,0.616771,0.207571,2.416667,0.399195,0.306749,2.438756,0.484645,0.150628,2.378066,0.506012,0.146150,2.321016,0.539842,0.100475,2.315759,0.542181,0.177735,2.321790,0.597271,-0.171612,2.373380,0.557026,-0.522271,2.441651,0.566537,-0.539393,2.343554,0.506549,-0.146342,2.476517,0.461479,-0.501891,2.416820,0.471982,-0.519138,2.318489
0.554976,0.705214,2.612661,0.554993,0.607317,2.582357,0.551105,0.548371,2.570400,0.537763,0.368168,2.527477,0.627227,0.592386,2.576425,0.453992,0.485858,2.474999,0.518582,0.122772,2.464245,0.543120,0.112280,2.473265,0.480312,0.130159,2.400801,0.619053,0.413060,2.505948,0.586233,0.244929,2.423241,0.596141,0.196683,2.429184,0.593630,0.150300,2.406775,0.617680,0.198204,2.420588,0.397467,0.318885,2.434816,0.482923,0.162714,2.374133,0.502296,0.154172,2.327328,0.538880,0.106720,2.324809,0.536014,0.180437,2.330500,0.591977,-0.169533,2.372329,0.550057,-0.528194,2.389107,0.567839,-0.545713,2.293666,0.483925,-0.151023,2.457833,0.471347,-0.512635,2.438736,0.490108,-0.530402,2.343035
0.554425,0.705795,2.613600,0.553333,0.608074,2.584463,0.549149,0.548972,2.572511,0.534738,0.368139,2.529672,0.624919,0.586874,2.579422,0.449412,0.487003,2.477926,0.513396,0.121410,2.466320,0.539385,0.112045,2.473132,0.474455,0.127525,2.404047,0.616472,0.407550,2.509022,0.611000,0.229362,2.445799,0.598873,0.185189,2.437566,0.610069,0.129505,2.409283,0.614703,0.183835,2.426364,0.393432,0.322945,2.436179,0.478904,0.166759,2.375493,0.491078,0.159685,2.331932,0.519042,0.112825,2.320261,0.519867,0.183106,2.333500,0.585642,-0.170266,2.372101,0.559546,-0.529349,2.400557,0.577808,-0.546960,2.305345,0.483182,-0.153769,2.459852,0.443696,-0.512400,2.481008,0.465130,-0.588009,2.437775
0.551873,0.705662,2.614559,0.545146,0.606511,2.590161,0.543165,0.547901,2.578073,0.533389,0.368034,2.535408,0.624347,0.633653,2.571046,0.443353,0.484808,2.480886,0.518614,0.122767,2.475426,0.546053,0.112643,2.503459,0.479055,0.129228,2.403450,0.614331,0.450719,2.512411,0.610319,0.269845,2.458155,0.598474,0.223872,2.450801,0.605954,0.171991,2.431220,0.611401,0.226388,2.439000,0.379719,0.317108,2.438715,0.465243,0.160943,2.378015,0.474728,0.155326,2.332113,0.497438,0.106462,2.322116,0.512112,0.182824,2.352500,0.532539,-0.160221,2.359424,0.595384,-0.515194,2.380238,0.602831,-0.532175,2.281899,0.463508,-0.147365,2.473428,0.406521,-0.505223,2.475923,0.416269,-0.522441,2.377059
0.549162,0.702131,2.615850,0.541474,0.600963,2.589926,0.538999,0.541977,2.578068,0.528900,0.361526,2.535861,0.615150,0.574206,2.587648,0.436723,0.478611,2.482194,0.513774,0.115404,2.474896,0.538399,0.097908,2.498183,0.475752,0.126256,2.400772,0.605823,0.395029,2.517043,0.597605,0.216312,2.455927,0.590927,0.171235,2.443879,0.600841,0.118691,2.423070,0.610363,0.147901,2.435600,0.377977,0.304928,2.434855,0.463505,0.148803,2.374139,0.467727,0.141596,2.334994,0.468875,0.102751,2.323082,0.507740,0.122527,2.376300,0.549797,-0.183238,2.378221,0.647207,-0.531413,2.381771,0.665607,-0.549068,2.287248,0.453645,-0.146529,2.479354,0.374281,-0.500540,2.481611,0.395903,-0.518630,2.386318
0.541355,0.688669,2.618148,0.536351,0.593140,2.590617,0.533729,0.533986,2.578628,0.523803,0.353066,2.535778,0.610135,0.571664,2.585679,0.431076,0.468213,2.482138,0.508877,0.106058,2.472797,0.532237,0.080763,2.493860,0.472544,0.123591,2.397520,0.601748,0.390516,2.521286,0.592218,0.212749,2.457274,0.580277,0.008704,2.399431,0.568728,-0.041107,2.389848,0.600339,0.005217,2.397308,0.381119,0.289970,2.432155,0.461668,0.131191,2.371494,0.462406,0.121054,2.342374,0.456791,0.078703,2.319991,0.489412,0.106188,2.370222,0.573121,-0.207473,2.420259,0.697462,-0.546405,2.389139,0.713723,-0.563798,2.293996,0.429569,-0.144877,2.481376,0.343542,-0.497496,2.481431,0.363879,-0.515464,2.385292
0.528548,0.680339,2.620884,0.537583,0.593025,2.589769,0.534461,0.533758,2.578020,0.523799,0.352499,2.535436,0.609171,0.571576,2.585438,0.433641,0.467572,2.480955,0.507253,0.103970,2.472195,0.530605,0.078215,2.490809,0.471275,0.122923,2.397602,0.601208,0.390336,2.521304,0.590271,0.212152,2.458837,0.570422,0.158468,2.440130,0.553830,0.111064,2.421117,0.595384,0.126041,2.421923,0.381205,0.289753,2.432215,0.461599,0.130883,2.371584,0.463842,0.115452,2.358330,0.447119,0.074970,2.321184,0.476690,0.097478,2.372546,0.572293,-0.210119,2.418984,0.710213,-0.544172,2.394901,0.727223,-0.561719,2.300081,0.425974,-0.145193,2.481480,0.319328,-0.492446,2.480551,0.340807,-0.510569,2.384666
0.521028,0.673827,2.620180,0.538233,0.591923,2.588888,0.534838,0.532617,2.577307,0.523366,0.350867,2.535081,0.608172,0.571203,2.585151,0.432982,0.464317,2.480888,0.505303,0.101392,2.472314,0.529775,0.076727,2.490079,0.468475,0.120731,2.398079,0.598969,0.389948,2.521188,0.588387,0.211326,2.460110,0.562114,-0.006803,2.394204,0.552722,-0.052216,2.363884,0.581368,-0.031814,2.381286,0.377147,0.286801,2.435817,0.456411,0.127293,2.375363,0.456056,0.115572,2.357912,0.439251,0.075126,2.325997,0.480141,0.097129,2.385600,0.573436,-0.211627,2.421069,0.713908,-0.544880,2.403481,0.730766,-0.562464,2.308605,0.414078,-0.171181,2.368083,0.294080,-0.501464,2.450111,0.315671,-0.519435,2.354172
0.519695,0.669161,2.620359,0.523658,0.571021,2.589485,0.522815,0.514403,2.577753,0.517468,0.339645,2.535318,0.597889,0.569298,2.582334,0.426090,0.449520,2.480516,0.504816,0.097650,2.472188,0.529914,0.073852,2.486720,0.467216,0.115763,2.400740,0.592539,0.387457,2.520081,0.589513,0.207588,2.462674,0.566110,-0.027229,2.390653,0.553736,-0.077744,2.372989,0.590293,-0.031467,2.387714,0.371630,0.271965,2.433834,0.354637,0.135140,2.548005,0.347252,0.065137,2.627129,0.341392,0.053595,2.629903,0.345832,0.076209,2.609750,0.585010,-0.213664,2.431839,0.714885,-0.551339,2.430597,0.729014,-0.568546,2.334594,0.410559,-0.158366,2.335273,0.284755,-0.484351,2.425676,0.303615,-0.502090,2.328593
0.515812,0.668624,2.618986,0.517503,0.570793,2.589586,0.517448,0.513535,2.577720,0.514522,0.337683,2.534992,0.592877,0.564722,2.580401,0.424023,0.446470,2.479368,0.504840,0.095464,2.471468,0.531003,0.071106,2.485006,0.466676,0.114784,2.400406,0.591634,0.382297,2.520292,0.589735,0.202792,2.461616,0.569176,-0.034986,2.386739,0.557913,-0.084730,2.371367,0.589945,-0.049834,2.377333,0.368527,0.268773,2.435185,0.353055,0.133161,2.550802,0.344192,0.078347,2.528566,0.338298,0.066752,2.531344,0.342697,0.089301,2.511195,0.586151,-0.216419,2.430875,0.693524,-0.561879,2.434384,0.707944,-0.578947,2.338341,0.406187,-0.175953,2.363305,0.263131,-0.495866,2.450110,0.282326,-0.513504,2.353015
0.513629,0.668987,2.618263,0.512873,0.573768,2.590293,0.513429,0.515473,2.578282,0.512303,0.337565,2.535220,0.586460,0.568238,2.578387,0.420878,0.446458,2.479600,0.504487,0.094212,2.471370,0.530868,0.069425,2.483405,0.466091,0.114027,2.401114,0.588122,0.385506,2.519546,0.571370,0.205438,2.465177,0.543462,0.014661,2.398196,0.533266,-0.037410,2.361232,0.570476,0.012946,2.383667,0.377264,0.268099,2.423493,0.356543,0.129429,2.535118,0.349784,0.088256,2.552582,0.349538,0.065408,2.533897,0.346139,0.093143,2.539400,0.585128,-0.218341,2.430212,0.653742,-0.573133,2.448322,0.667718,-0.590016,2.351856,0.401153,-0.175112,2.347724,0.255222,-0.490635,2.444898,0.273593,-0.508248,2.347463
0.508499,0.669186,2.616448,0.510298,0.574383,2.589255,0.511052,0.515798,2.577413,0.510823,0.337082,2.534767,0.583770,0.567858,2.577651,0.416698,0.447984,2.481636,0.504477,0.093049,2.471136,0.531734,0.068299,2.482158,0.465320,0.112948,2.401522,0.586116,0.385043,2.519185,0.578328,0.205536,2.460794,0.555779,-0.002342,2.387156,0.543059,-0.051029,2.365282,0.581347,0.000868,2.377632,0.445976,0.289728,2.372751,0.392063,0.165503,2.490296,0.387730,0.109377,2.470024,0.387323,0.086446,2.451364,0.383711,0.114079,2.456898,0.572390,-0.222281,2.432988,0.677048,-0.890835,2.448189,0.673578,-0.937716,2.391047,0.403707,-0.176602,2.345145,0.252836,-0.485623,2.453686,0.270344,-0.503256,2.355932
0.502034,0.672593,2.613845,0.505166,0.578491,2.588748,0.505939,0.519711,2.576936,0.506539,0.339938,2.534379,0.580771,0.568167,2.577067,0.412169,0.451842,2.483210,0.503011,0.094326,2.470855,0.529037,0.077222,2.478272,0.463335,0.111953,2.402693,0.584249,0.385263,2.519062,0.582329,0.205626,2.460788,0.563144,-0.004337,2.389893,0.549188,-0.057711,2.376503,0.589359,-0.006473,2.382071,0.443812,0.293620,2.375020,0.388948,0.174431,2.496820,0.349299,0.086024,2.532260,0.347600,0.078747,2.519903,0.346643,0.085370,2.513000,0.551184,-0.216276,2.437377,0.627003,-0.892569,2.454564,0.666455,-0.918085,2.400222,0.414578,-0.179451,2.342872,0.264892,-0.482370,2.467268,0.281754,-0.500037,2.369339
0.499913,0.674354,2.614049,0.500023,0.585127,2.587581,0.500694,0.525687,2.576106,0.501196,0.344007,2.534421,0.574073,0.568964,2.577496,0.409136,0.453695,2.483486,0.498946,0.096227,2.471646,0.524130,0.081477,2.478844,0.460342,0.111442,2.404064,0.578689,0.386406,2.518267,0.578936,0.207315,2.458087,0.572711,0.149531,2.450620,0.577482,0.104601,2.430333,0.598556,0.137429,2.432917,0.414775,0.278485,2.437444,0.359820,0.151281,2.551401,0.338236,0.108887,2.552737,0.326620,0.080328,2.569923,0.338753,0.143452,2.543750,0.530285,-0.213343,2.445059,0.592459,-0.887589,2.462916,0.606820,-0.901228,2.366987,0.447556,-0.179842,2.327391,0.295116,-0.482009,2.451466,0.312515,-0.499733,2.353867
0.489592,0.684891,2.613830,0.493488,0.591522,2.587696,0.493042,0.532860,2.576504,0.489913,0.353453,2.535901,0.563883,0.622455,2.569240,0.404738,0.462566,2.484664,0.483379,0.108706,2.474966,0.503662,0.102486,2.481694,0.450567,0.115695,2.407892,0.571198,0.437540,2.519659,0.574104,0.256696,2.465522,0.560468,0.219175,2.461716,0.538395,0.170974,2.433934,0.587532,0.200204,2.457000,0.439318,0.303053,2.379587,0.374070,0.216380,2.520310,0.332555,0.153741,2.525599,0.325407,0.126372,2.547167,0.329571,0.158754,2.539500,0.506127,-0.192770,2.447541,0.541568,-0.889614,2.476305,0.547913,-0.902784,2.378068,0.411442,-0.171503,2.436202,0.306423,-0.509198,2.512581,0.315204,-0.526304,2.412835
0.487669,0.688813,2.614062,0.490525,0.595185,2.588649,0.489058,0.536790,2.578000,0.482076,0.358057,2.539523,0.563813,0.622601,2.569307,0.406915,0.464154,2.483744,0.468910,0.113903,2.482509,0.489509,0.109432,2.488984,0.436873,0.117146,2.416221,0.563592,0.437746,2.518175,0.567057,0.256775,2.464574,0.556518,0.218154,2.463196,0.555394,0.170612,2.448024,0.580659,0.216221,2.458375,0.440603,0.306118,2.375876,0.372394,0.203848,2.505420,0.326275,0.141544,2.500445,0.322230,0.111417,2.522173,0.321055,0.131968,2.515800,0.477350,-0.186000,2.456128,0.501654,-0.451068,2.481539,0.510255,-0.469016,2.382479,0.403460,-0.170090,2.446892,0.298428,-0.507976,2.523309,0.309379,-0.525318,2.423989
0.479850,0.693198,2.618204,0.479654,0.604134,2.590305,0.479294,0.544446,2.580368,0.475874,0.362249,2.543135,0.562595,0.624216,2.570118,0.393933,0.471197,2.484014,0.466730,0.115115,2.486510,0.486155,0.112443,2.498516,0.435734,0.117116,2.417278,0.560516,0.439464,2.518388,0.560784,0.258150,2.465868,0.550939,0.219490,2.462705,0.552032,0.171771,2.448210,0.571342,0.228397,2.465200,0.419230,0.311631,2.375815,0.361369,0.206926,2.508009,0.319561,0.151445,2.502538,0.313652,0.116546,2.521931,0.315414,0.157885,2.514600,0.468914,-0.182857,2.467541,0.479700,-0.449841,2.485604,0.488730,-0.467850,2.386535,0.411429,-0.169091,2.455090,0.306373,-0.506973,2.531516,0.335757,-0.581242,2.492486
0.472833,0.699569,2.620078,0.476706,0.606617,2.590187,0.476212,0.546874,2.580560,0.472800,0.364230,2.544306,0.556838,0.628852,2.570555,0.388471,0.474186,2.483422,0.464743,0.116046,2.488692,0.483941,0.113901,2.502680,0.434276,0.117251,2.417695,0.538980,0.447395,2.508057,0.529850,0.267238,2.451379,0.529346,0.235311,2.448308,0.535949,0.181389,2.431910,0.554455,0.232701,2.456187,0.395511,0.309449,2.380489,0.347615,0.208132,2.518417,0.308425,0.161928,2.522095,0.303558,0.117794,2.523606,0.305090,0.200229,2.514300,0.489588,-0.179004,2.505928,0.451010,-0.445209,2.503831,0.460945,-0.463361,2.404812,0.460811,-0.175860,2.406404,0.408056,-0.532023,2.450955,0.418404,-0.549087,2.352079
