HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.667476,0.808365,2.342424,0.499671,0.657827,2.327751,0.414801,0.51038,2.227096,0.623374,0.322007,2.292168,0.485568,0.2764,2.333933,0.507381,0.207597,2.282162,0.45994,0.156469,2.266758,0.557695,0.133086,2.282079,0.360303,0.238146,2.14492,0.375259,0.022266,2.13879,0.394815,-0.060741,2.152889,0.613004,0.108283,2.229131,0.711256,0.024335,2.475257,0.701565,-0.035751,2.482122,0.576694,-0.307661,2.317228,0.632965,-0.713348,2.343019,0.689544,-0.731771,2.310971,0.733271,-0.246723,2.1595,0.317513,-0.4522,2.378364,0.366587,-0.486824,2.249197
0.679314,0.809932,2.331901,0.512217,0.659203,2.320113,0.432184,0.511703,2.222158,0.629682,0.319709,2.287677,0.501426,0.277082,2.328699,0.523532,0.207784,2.277542,0.475255,0.155444,2.264162,0.575351,0.135552,2.275981,0.380769,0.240451,2.137966,0.409834,0.027382,2.126895,0.435135,-0.046973,2.13455,0.650323,0.116782,2.240749,0.720705,0.015569,2.471348,0.717774,-0.049237,2.480253,0.590085,-0.327954,2.318497,0.582482,-0.703307,2.356714,0.652988,-0.739434,2.330816,0.739247,-0.248824,2.166348,0.332307,-0.435795,2.372373,0.372142,-0.47166,2.255251
0.692503,0.814753,2.32286,0.526221,0.664749,2.312963,0.44885,0.516709,2.217739,0.638994,0.322985,2.28273,0.510467,0.278859,2.32526,0.531998,0.208782,2.274543,0.483597,0.156899,2.261877,0.583783,0.137275,2.27249,0.401204,0.247243,2.129332,0.453157,0.030982,2.115574,0.473957,-0.038672,2.123076,0.674539,0.127303,2.239676,0.677077,-0.031585,2.211974,0.67024,-0.095291,2.180027,0.594303,-0.335053,2.318841,0.540642,-0.695706,2.366702,0.629687,-0.742004,2.34024,0.717028,-0.254893,2.172216,0.316463,-0.432099,2.371943,0.333601,-0.478662,2.271448
0.70507,0.821063,2.316491,0.539454,0.672407,2.308016,0.462984,0.52372,2.214604,0.650355,0.330631,2.278461,0.543381,0.293233,2.32406,0.567043,0.223052,2.275294,0.518504,0.177471,2.260472,0.620354,0.146468,2.277934,0.418713,0.255788,2.121826,0.481414,0.03635,2.107375,0.517607,-0.033024,2.114453,0.690835,0.137154,2.237374,0.649052,-0.052251,2.129372,0.647153,-0.118595,2.124365,0.582889,-0.34232,2.320628,0.513198,-0.69243,2.373193,0.591431,-0.744704,2.346516,0.552173,-0.328221,2.445442,0.298329,-0.564308,2.504632,0.339939,-0.67447,2.517941
0.716107,0.832159,2.311866,0.553628,0.681157,2.304968,0.47653,0.530636,2.212669,0.664082,0.340794,2.275197,0.556716,0.299918,2.323643,0.580413,0.229314,2.275668,0.531481,0.18788,2.260199,0.634985,0.150869,2.280143,0.434411,0.263681,2.11541,0.524456,0.041686,2.096022,0.564433,-0.028486,2.102978,0.702959,0.146185,2.233767,0.655005,-0.052674,2.139607,0.649195,-0.126757,2.102222,0.55887,-0.347558,2.32611,0.4827,-0.692669,2.382418,0.562132,-0.741275,2.35212,0.653901,-0.271903,2.455972,0.354714,-0.606389,2.522054,0.392004,-0.719517,2.546196
0.7276,0.840886,2.309589,0.567608,0.688368,2.303651,0.488557,0.536321,2.211514,0.678499,0.350278,2.273174,0.566167,0.303008,2.322832,0.58917,0.231877,2.275255,0.540739,0.192125,2.259277,0.643472,0.152419,2.280566,0.44889,0.270535,2.109074,0.552917,0.046247,2.088462,0.598829,-0.022687,2.095745,0.716165,0.154263,2.230836,0.697661,-0.060982,2.131943,0.702579,-0.130181,2.131448,0.526184,-0.354788,2.33111,0.463654,-0.692799,2.389333,0.542184,-0.739165,2.358087,0.671443,-0.279498,2.482574,0.510662,-0.639777,2.50886,0.557206,-0.720998,2.471826
0.738777,0.847289,2.308482,0.581214,0.693318,2.303525,0.499462,0.540192,2.210833,0.720597,0.378427,2.274145,0.573544,0.304954,2.322448,0.595213,0.233474,2.274988,0.546529,0.194673,2.25883,0.649678,0.153364,2.280699,0.462142,0.275491,2.102985,0.583675,0.053635,2.079572,0.642397,-0.011513,2.085217,0.734783,0.166774,2.229708,0.723768,-0.049426,2.140994,0.728043,-0.12017,2.138973,0.510648,-0.361009,2.336311,0.429877,-0.696381,2.397628,0.511284,-0.731338,2.372308,0.69925,-0.331367,2.496405,0.618926,-0.709604,2.51458,0.678913,-0.781038,2.525864
0.760856,0.844483,2.312092,0.593255,0.695934,2.303791,0.510446,0.54275,2.210334,0.735414,0.387603,2.274162,0.579954,0.306318,2.322215,0.600171,0.234599,2.274816,0.550901,0.196529,2.258567,0.654696,0.153966,2.280606,0.478156,0.279091,2.096186,0.610954,0.062533,2.071142,0.675988,-0.004005,2.076984,0.746252,0.176431,2.227476,0.743921,-0.040077,2.162364,0.749253,-0.110406,2.163914,0.503053,-0.363687,2.338739,0.411108,-0.696055,2.400922,0.48881,-0.73089,2.375896,0.728356,-0.349709,2.497744,0.719096,-0.730492,2.482795,0.795009,-0.743628,2.471641
0.776769,0.842563,2.315156,0.606336,0.696309,2.30476,0.524692,0.543006,2.209765,0.751785,0.395805,2.272291,0.585827,0.306752,2.322263,0.604141,0.235074,2.274742,0.554116,0.197821,2.25841,0.658811,0.153881,2.280448,0.495441,0.27986,2.09034,0.63975,0.069123,2.063023,0.70055,0.003376,2.069969,0.758597,0.183789,2.229115,0.76145,-0.03262,2.178601,0.766767,-0.102898,2.181152,0.49795,-0.364898,2.340566,0.385681,-0.696009,2.404091,0.46379,-0.729819,2.381205,0.769295,-0.36046,2.488565,0.830611,-0.733153,2.444398,0.946807,-0.764542,2.4529
0.788855,0.840997,2.318076,0.620103,0.694359,2.306659,0.538802,0.541416,2.210216,0.761234,0.399884,2.271317,0.590959,0.306467,2.322448,0.607298,0.235048,2.274689,0.556398,0.198599,2.2584,0.662173,0.153159,2.279993,0.512331,0.278578,2.08684,0.655676,0.073113,2.059017,0.721568,0.009566,2.064538,0.765696,0.187518,2.23018,0.77455,-0.028111,2.188871,0.779547,-0.098396,2.1916,0.504346,-0.351581,2.346596,0.36696,-0.694496,2.40472,0.43922,-0.734753,2.387568,0.799107,-0.371471,2.468671,0.95387,-0.730298,2.400909,1.046622,-0.725108,2.377871
0.815982,0.826845,2.327711,0.639841,0.687174,2.310944,0.557545,0.536432,2.212207,0.771534,0.398953,2.269385,0.599729,0.303596,2.324023,0.612382,0.233038,2.275371,0.558853,0.198408,2.259422,0.667154,0.150521,2.279171,0.528986,0.275033,2.085441,0.672034,0.075328,2.056244,0.739206,0.012888,2.059809,0.77203,0.188059,2.229373,0.792191,-0.026556,2.203292,0.796351,-0.096605,2.205442,0.482393,-0.327201,2.33884,0.348513,-0.693201,2.404704,0.420479,-0.736881,2.391744,0.831206,-0.391345,2.447061,1.032796,-0.707556,2.356716,1.119404,-0.67954,2.338575
0.831388,0.819141,2.333871,0.657178,0.678607,2.314987,0.574836,0.530669,2.215698,0.794877,0.390071,2.272216,0.61522,0.297932,2.32648,0.625229,0.228161,2.276814,0.566334,0.19577,2.262341,0.681359,0.144382,2.277232,0.543648,0.270924,2.085757,0.681466,0.076754,2.054592,0.749054,0.014751,2.057228,0.778746,0.185658,2.229647,0.804942,-0.026673,2.211086,0.80857,-0.096486,2.212928,0.473784,-0.317695,2.335549,0.318578,-0.689086,2.402332,0.393838,-0.735559,2.396029,0.844836,-0.39635,2.440503,1.034259,-0.69305,2.352515,1.138518,-0.670212,2.321366
0.843335,0.814622,2.337177,0.67996,0.666847,2.321666,0.591481,0.522426,2.219493,0.817159,0.371761,2.270152,0.63546,0.290145,2.330593,0.642004,0.221538,2.279414,0.578772,0.190857,2.267508,0.699033,0.135487,2.275708,0.558557,0.263777,2.087698,0.688922,0.07669,2.053949,0.756058,0.014983,2.055326,0.790174,0.170583,2.228474,0.768599,0.02736,2.078383,0.786641,-0.053529,2.113833,0.469787,-0.312659,2.333646,0.301467,-0.687089,2.401114,0.374962,-0.736891,2.399248,0.863935,-0.404297,2.433454,1.043566,-0.715624,2.338991,1.111674,-0.667972,2.359802
0.857575,0.809559,2.343133,0.697689,0.658721,2.327573,0.613082,0.512138,2.225325,0.839056,0.351074,2.276171,0.667044,0.276507,2.335287,0.677622,0.206852,2.283134,0.61576,0.174677,2.27315,0.733751,0.119213,2.275886,0.570791,0.256912,2.091233,0.697992,0.070609,2.05654,0.760935,0.011896,2.054837,0.800065,0.154234,2.226334,0.79209,0.002497,2.073195,0.791503,-0.057841,2.085629,0.47423,-0.309561,2.329205,0.287248,-0.684324,2.399302,0.349697,-0.742261,2.404217,0.87352,-0.406939,2.430131,0.975526,-0.732202,2.356234,1.056117,-0.691231,2.343988
0.871869,0.807135,2.348346,0.716323,0.653231,2.33534,0.626356,0.506541,2.230101,0.850594,0.343058,2.279877,0.685306,0.269878,2.337415,0.698005,0.199997,2.284478,0.636498,0.16751,2.274989,0.754888,0.110139,2.275361,0.580553,0.251654,2.096236,0.703674,0.063757,2.060611,0.762269,0.003254,2.057816,0.810675,0.144358,2.223332,0.793965,0.000464,2.058494,0.793615,-0.061721,2.069797,0.523591,-0.305535,2.318548,0.278945,-0.681794,2.397801,0.339712,-0.743356,2.406052,0.881059,-0.398392,2.429933,0.945415,-0.729614,2.369657,1.028044,-0.701544,2.347815
0.88685,0.805351,2.354839,0.729003,0.651313,2.341056,0.639666,0.504334,2.236285,0.859624,0.338104,2.283633,0.698701,0.265708,2.338704,0.712918,0.195694,2.285036,0.65203,0.163204,2.274254,0.770265,0.104528,2.275955,0.589065,0.249222,2.104549,0.704841,0.05568,2.068563,0.752306,-0.01107,2.068554,0.817497,0.140085,2.221641,0.794438,-0.002323,2.050794,0.794278,-0.065258,2.061285,0.611795,-0.291678,2.302971,0.287911,-0.639016,2.391884,0.321609,-0.738389,2.40526,0.883843,-0.388825,2.431971,0.890027,-0.731867,2.39338,0.970374,-0.723918,2.37104
0.899698,0.806313,2.361115,0.740018,0.652508,2.347033,0.649155,0.504528,2.241637,0.867831,0.33588,2.288451,0.712299,0.265118,2.340049,0.728687,0.195759,2.285644,0.672933,0.161951,2.273255,0.784428,0.105007,2.276475,0.596021,0.24886,2.115463,0.697447,0.044543,2.083081,0.730601,-0.0305,2.088388,0.832929,0.140002,2.218909,0.79472,-0.005019,2.050076,0.795038,-0.068328,2.058165,0.686603,-0.294306,2.293715,0.307701,-0.609063,2.385607,0.308354,-0.725351,2.401862,0.883178,-0.38212,2.434794,0.831781,-0.73246,2.417779,0.918709,-0.741216,2.397225
0.911122,0.808149,2.368378,0.748422,0.655734,2.352596,0.659808,0.509002,2.249387,0.874389,0.343165,2.290547,0.723951,0.265571,2.341208,0.739916,0.196384,2.285783,0.688485,0.161735,2.27203,0.794789,0.108144,2.276836,0.600402,0.253087,2.130252,0.676977,0.039982,2.103544,0.696864,-0.037128,2.108415,0.855041,0.148258,2.220857,0.867596,-0.02663,2.128345,0.866221,-0.093096,2.126531,0.716894,-0.296669,2.287867,0.360029,-0.587492,2.374188,0.354249,-0.701115,2.375471,0.883585,-0.371797,2.446568,0.774236,-0.720645,2.448119,0.861027,-0.743953,2.427108
0.918466,0.809964,2.373333,0.753881,0.659615,2.356893,0.666798,0.514228,2.255798,0.877716,0.347387,2.291342,0.733663,0.267077,2.342113,0.749363,0.198074,2.285748,0.700184,0.162401,2.271132,0.804637,0.114849,2.277138,0.601826,0.258353,2.145147,0.657443,0.040915,2.121311,0.669312,-0.031866,2.125463,0.867027,0.15415,2.223183,0.919623,-0.03786,2.186767,0.911288,-0.105284,2.173694,0.736455,-0.300423,2.283223,0.436191,-0.580884,2.364017,0.43129,-0.683696,2.349475,0.885798,-0.366323,2.452906,0.722479,-0.697804,2.471035,0.823368,-0.74166,2.449415
0.923303,0.812787,2.376312,0.757485,0.665206,2.360509,0.671467,0.519994,2.261049,0.875694,0.366165,2.284234,0.743135,0.270364,2.343294,0.757319,0.20113,2.285898,0.710924,0.165146,2.271726,0.812394,0.123736,2.27701,0.600074,0.264426,2.159659,0.640258,0.043054,2.13974,0.650485,-0.027241,2.14266,0.879155,0.165218,2.23242,0.933743,-0.040671,2.203722,0.923636,-0.108519,2.188576,0.766802,-0.301328,2.279805,0.525779,-0.605721,2.361873,0.531091,-0.693426,2.326919,0.784792,-0.282351,2.477382,0.706556,-0.690286,2.478196,0.81734,-0.739612,2.455922
0.925478,0.819263,2.377511,0.759647,0.672203,2.363796,0.674714,0.525787,2.265479,0.858332,0.434093,2.270685,0.753162,0.274604,2.344793,0.763595,0.204418,2.286172,0.723367,0.171668,2.274232,0.817865,0.138595,2.277114,0.596206,0.270673,2.172127,0.629647,0.043739,2.151119,0.638627,-0.025068,2.15433,0.884304,0.217067,2.244848,0.929026,-0.005703,2.224027,0.916491,-0.073079,2.209828,0.78968,-0.318101,2.283094,0.61422,-0.630074,2.35328,0.645396,-0.703967,2.30928,0.741542,-0.280039,2.494349,0.707863,-0.683722,2.479217,0.775516,-0.751498,2.455991
0.926565,0.825158,2.378092,0.76095,0.678004,2.366108,0.676698,0.530273,2.26862,0.849267,0.47562,2.265457,0.761197,0.278483,2.346288,0.769598,0.208043,2.286832,0.732152,0.17615,2.276351,0.822238,0.149997,2.277883,0.591846,0.275498,2.181345,0.619552,0.046647,2.16082,0.626512,-0.024096,2.165843,0.88607,0.243774,2.252116,0.924616,0.01421,2.234061,0.910805,-0.053168,2.220678,0.812244,-0.3307,2.279024,0.712654,-0.667944,2.334363,0.77418,-0.719965,2.29172,0.710612,-0.290994,2.506064,0.632008,-0.69275,2.496866,0.69329,-0.767802,2.468064
0.926815,0.830136,2.377998,0.761695,0.682417,2.367638,0.677953,0.53355,2.270866,0.865025,0.429611,2.282842,0.764662,0.280908,2.347178,0.773224,0.210868,2.287602,0.736519,0.178565,2.277803,0.824564,0.156199,2.278513,0.587292,0.279169,2.188656,0.61187,0.049003,2.167574,0.617955,-0.02532,2.175794,0.879315,0.223304,2.254103,0.961452,0.073689,2.350127,0.988166,0.036732,2.429508,0.853955,-0.331037,2.26513,0.786571,-0.695684,2.310313,0.879047,-0.731226,2.249387,0.689272,-0.308552,2.516188,0.596451,-0.698157,2.5077,0.663393,-0.731061,2.430674
0.926676,0.833784,2.37755,0.762165,0.6854,2.368575,0.678799,0.535741,2.272426,0.870839,0.42164,2.289427,0.766339,0.283893,2.348549,0.775319,0.214512,2.289351,0.737791,0.180973,2.280262,0.825998,0.160991,2.279773,0.583627,0.281423,2.194329,0.605118,0.051013,2.173558,0.611764,-0.026785,2.183894,0.875252,0.213649,2.254425,0.9947,0.096238,2.451705,1.042962,0.029853,2.562724,0.871574,-0.330768,2.260094,0.872984,-0.705816,2.264174,0.955797,-0.732365,2.21085,0.633706,-0.353751,2.40946,0.568682,-0.701312,2.520331,0.65501,-0.743185,2.51049
0.926331,0.836378,2.376839,0.762515,0.687344,2.369101,0.679465,0.537138,2.273547,0.874176,0.41427,2.292999,0.765106,0.285151,2.34998,0.773714,0.215301,2.291229,0.732939,0.181431,2.283464,0.813392,0.149631,2.283634,0.580915,0.282578,2.198804,0.598493,0.052463,2.179366,0.607729,-0.028171,2.190354,0.908333,0.210479,2.311993,1.043024,0.093473,2.545103,1.097278,0.023662,2.613591,0.882438,-0.331228,2.257834,0.932067,-0.70797,2.231697,1.029383,-0.724215,2.168592,0.601529,-0.40936,2.323972,0.558029,-0.644379,2.566493,0.613742,-0.724212,2.537736
0.925769,0.837804,2.37569,0.762744,0.688313,2.369062,0.67986,0.537966,2.274375,0.906153,0.527069,2.453484,0.747097,0.289597,2.34864,0.770181,0.21835,2.295042,0.726257,0.184767,2.288986,0.808429,0.150285,2.287832,0.578785,0.282604,2.202415,0.592828,0.051793,2.184947,0.604426,-0.03051,2.195935,0.91197,0.294309,2.407199,1.037122,0.106685,2.54269,1.107072,0.023656,2.610175,0.889685,-0.331553,2.256403,1.011504,-0.708445,2.197437,1.100959,-0.707764,2.136908,0.589931,-0.42397,2.292244,0.522949,-0.585543,2.59206,0.572027,-0.68893,2.568534
0.924677,0.837853,2.373686,0.762821,0.687632,2.368342,0.67964,0.536893,2.274957,0.916024,0.551722,2.494807,0.736155,0.29383,2.348938,0.7658,0.223205,2.299619,0.720324,0.187866,2.293828,0.804319,0.154128,2.292053,0.57661,0.280098,2.205537,0.588734,0.0501,2.189392,0.601832,-0.035045,2.201024,0.921602,0.302141,2.419246,1.065864,0.113299,2.587657,1.115106,0.0279,2.608716,0.881703,-0.340399,2.285509,1.066351,-0.714886,2.188839,1.118936,-0.70017,2.124143,0.624736,-0.336185,2.494149,0.469928,-0.638586,2.563865,0.504425,-0.720605,2.578179
0.922902,0.835282,2.37002,0.762761,0.683898,2.366642,0.678947,0.531579,2.274763,0.92182,0.570232,2.522393,0.729966,0.296267,2.349202,0.762881,0.22649,2.302723,0.716537,0.189716,2.296896,0.801919,0.157493,2.295158,0.575187,0.272906,2.208147,0.586072,0.048654,2.192377,0.600143,-0.039786,2.204911,0.974525,0.338754,2.510213,1.078264,0.114561,2.600482,1.133192,0.02962,2.615646,0.844019,-0.31416,2.31714,1.048877,-0.710554,2.207282,1.121576,-0.702683,2.148354,0.610701,-0.339685,2.499975,0.427941,-0.6426,2.567082,0.481514,-0.719642,2.588346
0.919559,0.830333,2.364059,0.762402,0.676785,2.36362,0.678348,0.524791,2.27397,0.925386,0.581283,2.539284,0.726235,0.297733,2.349373,0.761024,0.228617,2.30475,0.714252,0.190707,2.298848,0.800637,0.160213,2.29732,0.575287,0.264515,2.209211,0.584364,0.047456,2.194368,0.599414,-0.043138,2.207258,0.943985,0.293544,2.419508,1.079185,0.119754,2.592885,1.139494,0.028979,2.612333,0.829696,-0.30425,2.329104,1.033502,-0.707628,2.223875,1.12982,-0.716168,2.179226,0.619359,-0.318957,2.551132,0.390265,-0.663174,2.562399,0.437968,-0.735849,2.596242
0.91694,0.825929,2.359018,0.762089,0.670745,2.360956,0.67804,0.518808,2.272989,0.925631,0.583346,2.542058,0.723903,0.298676,2.349473,0.759962,0.229991,2.306051,0.712948,0.191261,2.300099,0.800263,0.162705,2.298868,0.576766,0.256976,2.208876,0.584737,0.042982,2.195105,0.601464,-0.049571,2.208071,0.944998,0.291625,2.418091,1.077896,0.119668,2.588223,1.130934,0.022243,2.597428,0.821796,-0.299078,2.335616,0.983294,-0.702183,2.260991,1.079381,-0.722807,2.215001,0.662007,-0.275794,2.552942,0.375368,-0.667702,2.561757,0.412087,-0.742552,2.600341
0.914672,0.822289,2.354336,0.761799,0.666214,2.358867,0.677776,0.514511,2.272072,0.923298,0.577831,2.533255,0.722415,0.299294,2.34954,0.759556,0.230961,2.306964,0.712846,0.190873,2.30103,0.802304,0.166048,2.300036,0.579275,0.250901,2.207617,0.588529,0.036823,2.193576,0.605345,-0.056253,2.2071,0.940516,0.281719,2.399538,1.068184,0.113379,2.575071,1.116025,0.011781,2.590091,0.816988,-0.296481,2.33985,0.928211,-0.703113,2.28901,1.019541,-0.729942,2.252403,0.701409,-0.263643,2.550926,0.36935,-0.665697,2.561593,0.381563,-0.742072,2.596764
0.912924,0.819026,2.350148,0.761411,0.6627,2.357107,0.677501,0.511759,2.271361,0.920007,0.569629,2.52057,0.722793,0.299432,2.349567,0.761095,0.231915,2.307699,0.715244,0.189555,2.301616,0.809085,0.170657,2.300827,0.582224,0.246525,2.205743,0.59987,0.029132,2.186195,0.617239,-0.062817,2.200219,0.929333,0.272804,2.384011,1.037798,0.093905,2.557491,1.073853,-0.017459,2.591446,0.832887,-0.31626,2.332979,0.869022,-0.699332,2.316415,0.950886,-0.734856,2.282588,0.715411,-0.256193,2.55611,0.378313,-0.647567,2.568145,0.370187,-0.735863,2.593052
0.911857,0.816676,2.347363,0.76092,0.660426,2.355852,0.677115,0.510002,2.270765,0.916733,0.562874,2.509578,0.724042,0.299515,2.349599,0.763081,0.232856,2.308185,0.717797,0.188574,2.301908,0.814451,0.174169,2.301266,0.585577,0.243653,2.202313,0.636423,-0.010419,2.17472,0.65233,-0.087198,2.184975,0.92299,0.268747,2.376544,1.013023,0.081803,2.549427,1.040095,-0.035008,2.59271,0.832174,-0.322093,2.335015,0.804428,-0.696888,2.350726,0.883109,-0.736672,2.311613,0.723814,-0.257733,2.550839,0.410921,-0.621856,2.574,0.41843,-0.720942,2.601067
0.910916,0.815516,2.345631,0.760339,0.659133,2.354999,0.67643,0.509113,2.270226,0.913828,0.558763,2.501704,0.7254,0.299958,2.349844,0.76483,0.234015,2.308691,0.719751,0.188259,2.302088,0.817936,0.177035,2.302063,0.588584,0.243168,2.197137,0.662419,0.005898,2.160311,0.688376,-0.066526,2.165504,0.890341,0.291679,2.32405,0.874736,0.090036,2.260693,0.902651,0.022584,2.261324,0.819255,-0.331418,2.337933,0.746248,-0.692309,2.377458,0.823355,-0.735037,2.340935,0.736926,-0.316369,2.517424,0.464936,-0.598675,2.576345,0.4805,-0.711767,2.604166
0.909934,0.814917,2.344555,0.757738,0.659769,2.354418,0.674598,0.510071,2.269712,0.910422,0.556955,2.496187,0.7265,0.300538,2.350434,0.766207,0.235127,2.309486,0.721256,0.188652,2.302444,0.82025,0.178975,2.303909,0.591504,0.24539,2.191066,0.677075,0.016531,2.153754,0.714305,-0.039421,2.153325,0.871698,0.309103,2.298544,0.836957,0.076982,2.20636,0.875715,0.022863,2.211079,0.782274,-0.338254,2.350117,0.679502,-0.691109,2.414352,0.769486,-0.731802,2.365893,0.730501,-0.340444,2.512767,0.508789,-0.603468,2.572615,0.559413,-0.703064,2.590946
0.907982,0.815784,2.345168,0.75265,0.663221,2.354866,0.670884,0.513898,2.269798,0.906747,0.556569,2.492317,0.727508,0.301838,2.352273,0.767417,0.236852,2.311612,0.722687,0.190276,2.303882,0.821858,0.180864,2.307861,0.593384,0.250406,2.184483,0.692235,0.032896,2.147286,0.736728,-0.019669,2.147353,0.864017,0.316749,2.289385,0.832864,0.078015,2.192999,0.858912,0.032365,2.163688,0.737086,-0.344964,2.365066,0.655132,-0.689466,2.427007,0.729026,-0.731561,2.382222,0.729142,-0.35109,2.509696,0.568618,-0.63781,2.55316,0.637255,-0.714183,2.566544
0.903131,0.820756,2.351664,0.745353,0.669324,2.357138,0.666536,0.519513,2.270821,0.902278,0.557572,2.489896,0.727848,0.303536,2.355142,0.767957,0.238724,2.314695,0.723641,0.192863,2.306585,0.82214,0.182313,2.312452,0.594189,0.25693,2.178683,0.704202,0.045593,2.14326,0.756157,-0.005731,2.142953,0.859587,0.324895,2.289456,0.811326,0.075849,2.158739,0.860448,0.035466,2.161987,0.68532,-0.357888,2.381155,0.611679,-0.694629,2.440109,0.687569,-0.729308,2.406033,0.725316,-0.358084,2.508384,0.595012,-0.659563,2.543821,0.699624,-0.695441,2.509365
0.896369,0.826933,2.362428,0.736176,0.67644,2.361412,0.661364,0.525077,2.27248,0.896071,0.56004,2.489297,0.724917,0.307443,2.362103,0.765042,0.24244,2.322474,0.720656,0.19801,2.313738,0.818595,0.184926,2.321992,0.594433,0.262244,2.174434,0.713362,0.062846,2.138088,0.770325,0.00386,2.138041,0.856475,0.331811,2.30133,0.806079,0.07466,2.164533,0.795836,0.031247,2.133286,0.641811,-0.369245,2.396349,0.559262,-0.699601,2.45329,0.636299,-0.729501,2.423542,0.817915,-0.355381,2.506449,0.724685,-0.688989,2.52256,0.821616,-0.714716,2.451796
0.888033,0.831688,2.372611,0.725654,0.682399,2.36743,0.648378,0.533519,2.277495,0.887643,0.563313,2.491127,0.714093,0.314423,2.373883,0.752428,0.249234,2.335616,0.703904,0.208263,2.327081,0.807392,0.188483,2.335302,0.593656,0.267649,2.17123,0.71887,0.075857,2.134935,0.782454,0.015131,2.134164,0.848496,0.335967,2.316773,0.796328,0.077676,2.179457,0.770636,0.035834,2.107289,0.604395,-0.36443,2.401742,0.5259,-0.697199,2.46207,0.594812,-0.732715,2.434171,0.861024,-0.357,2.505735,0.826249,-0.706898,2.507581,0.888097,-0.747105,2.450149
0.874587,0.83666,2.385778,0.711872,0.68731,2.377186,0.637191,0.538382,2.28254,0.87557,0.567258,2.497,0.69738,0.320542,2.385785,0.734784,0.254897,2.3481,0.683513,0.21587,2.339275,0.790419,0.191764,2.347406,0.592845,0.271162,2.169176,0.722218,0.08387,2.133022,0.78918,0.021867,2.131758,0.839896,0.338498,2.331807,0.804182,0.092472,2.216279,0.759978,0.045325,2.12367,0.572453,-0.353221,2.405272,0.472768,-0.691194,2.472075,0.548042,-0.731491,2.44698,0.880997,-0.356161,2.505698,0.913676,-0.713943,2.491833,1.011863,-0.739831,2.450119
0.864039,0.83857,2.396685,0.701093,0.689013,2.386827,0.624668,0.540618,2.289646,0.864283,0.569755,2.50478,0.677847,0.323765,2.396598,0.712286,0.257439,2.359011,0.656224,0.219626,2.350507,0.767,0.191611,2.357301,0.591614,0.27367,2.167953,0.724292,0.088961,2.13191,0.793203,0.026648,2.130095,0.831691,0.339225,2.343316,0.807824,0.100395,2.236587,0.756539,0.052217,2.142755,0.557346,-0.346564,2.409392,0.416486,-0.689904,2.478724,0.49401,-0.732135,2.468686,0.892417,-0.356558,2.505853,0.981363,-0.707126,2.466747,1.097604,-0.727532,2.450977
0.853488,0.836922,2.4079,0.689659,0.687341,2.398854,0.612885,0.53966,2.297834,0.852104,0.570268,2.515384,0.6588,0.323512,2.40693,0.692665,0.256743,2.36868,0.638098,0.22011,2.358327,0.744383,0.188734,2.367462,0.58666,0.275415,2.16817,0.725103,0.092462,2.131458,0.795071,0.03,2.129118,0.82327,0.337762,2.354234,0.808339,0.104475,2.249086,0.754556,0.055652,2.15915,0.553403,-0.33532,2.424478,0.360701,-0.689141,2.483007,0.434543,-0.739254,2.477072,0.886483,-0.360999,2.509436,1.052264,-0.685914,2.435985,1.140523,-0.697286,2.4271
0.842728,0.830824,2.418751,0.677105,0.682247,2.412604,0.600605,0.535323,2.308067,0.838898,0.568359,2.528213,0.642964,0.320886,2.41533,0.677086,0.254247,2.376276,0.62348,0.218518,2.364854,0.728264,0.185486,2.374548,0.579106,0.275028,2.170652,0.722894,0.093829,2.132776,0.794466,0.031637,2.129323,0.813228,0.332718,2.367128,0.806716,0.105141,2.260635,0.752406,0.054366,2.176654,0.60885,-0.288769,2.460322,0.323807,-0.667595,2.483588,0.3783,-0.735311,2.482463,0.851833,-0.363006,2.527891,1.046223,-0.68775,2.442976,1.141397,-0.675415,2.423309
