% u
@RELATION anthropometry

@ATTRIBUTE ShoulderCenter_ShoulderLeft REAL
@ATTRIBUTE ShoulderLeft_ElbowLeft REAL
@ATTRIBUTE ElbowLeft_WristLeft REAL
@ATTRIBUTE WristLeft_HandLeft REAL
@ATTRIBUTE HipCenter_HipLeft REAL
@ATTRIBUTE HipLeft_KneeLeft REAL
@ATTRIBUTE KneeLeft_AnkleLeft REAL
@ATTRIBUTE AnkleLeft_FootLeft REAL
@ATTRIBUTE Name {0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}

@DATA
0.184375821538,0.25103653634,0.205541101209,0.0529746858025,0.0533926940027,0.361022608873,0.330952582885,0.083825644612,0
0.184346942113,0.252680771618,0.203692552362,0.05186777902,0.0640801884602,0.344011075449,0.328074015611,0.0793301009737,0
0.181916105093,0.248476426698,0.192890716833,0.0639488767605,0.0653545796196,0.364489381077,0.325572225716,0.0767494732256,0
0.191923500634,0.242993535936,0.187049566297,0.0688021978285,0.0645135960052,0.367272368333,0.325221640152,0.0746422288265,0
0.189042664224,0.247085928195,0.211109987129,0.0512841396792,0.0567865104766,0.359327861522,0.335348187473,0.0833721689972,0
0.191123380212,0.241556989854,0.188029897737,0.0689491277228,0.0660340476142,0.366827110799,0.329997431367,0.0775593258188,0
0.204050252385,0.278200172775,0.233992588415,0.0650076442707,0.0569778471416,0.444200830942,0.378711899382,0.0873646828737,1
0.203981854072,0.271946098018,0.232035831735,0.0759057087133,0.0669050380915,0.478642828253,0.381356984275,0.085786683251,1
0.20629150982,0.275282329474,0.225052017811,0.0664198528212,0.0566180469794,0.450065708416,0.375488061741,0.0850902238068,1
0.20469004884,0.270203466519,0.232598011969,0.0724105521016,0.0696914490531,0.485415994346,0.378618111543,0.0866751224247,1
0.154588001736,0.274139865165,0.21236546539,0.0578665623241,0.0466974286699,0.410402203972,0.37915863494,0.0964090318207,4
0.162029526071,0.272241282462,0.212997133813,0.0626559145693,0.0518834392498,0.41646567226,0.383705592181,0.0925805286226,4
0.159874607555,0.261510526218,0.203777158813,0.0696265010539,0.0553501693761,0.426703795215,0.38807233977,0.0902738637485,4
0.153518490051,0.268632711256,0.210064226698,0.0639603074568,0.044317778254,0.419999323346,0.384343142228,0.0879576533587,4
0.158930696354,0.271998904423,0.212816349498,0.0593382599948,0.0519378270428,0.418750782786,0.385063048033,0.0904409044955,4
0.189074763202,0.273230698498,0.214548583847,0.0696312512127,0.0862517499455,0.450011013201,0.392196983317,0.0845936983381,5
0.192631748856,0.27306364762,0.219969397705,0.0679656442364,0.0759364135461,0.451458232545,0.398844643009,0.0850595975227,5
0.187785787504,0.261989890554,0.211098566816,0.0735525108663,0.0847076103621,0.453951531143,0.392962783672,0.0836808846846,5
0.184123284366,0.264249030938,0.213570635895,0.0511138241664,0.0638973153944,0.452225518684,0.404745423897,0.0813235928682,6
0.194031465295,0.288459639395,0.221256008714,0.0570637522159,0.0655771034323,0.449211985198,0.403608138903,0.0913430793539,6
0.195436212763,0.281735393483,0.21287764137,0.0603010826478,0.0640366163762,0.449012983125,0.398680641827,0.0863961838238,6
0.193615367375,0.292191194252,0.220801265464,0.0517026167711,0.06392061544,0.445602392557,0.404919537235,0.0867043874997,6
0.21403327618,0.28200558169,0.226725833142,0.0670169359863,0.0762158260509,0.432734410821,0.388940808523,0.0899474411773,9
0.220402388696,0.276017013756,0.239504456506,0.0735150682731,0.0695039427549,0.412837911514,0.404867093163,0.0832029801442,9
0.216538681762,0.29350688456,0.225985000303,0.0546939241419,0.0662168128177,0.457297038096,0.418372463688,0.0906381696033,9
0.210610263296,0.298936881261,0.224278845042,0.0515125389328,0.0535840835996,0.435611085174,0.377562088752,0.0922228440114,9
0.220976078669,0.322380255365,0.237225807854,0.0869398092593,0.0846056189091,0.568581023947,0.399743317031,0.0923784561508,11
0.236072932991,0.331214143937,0.261456487933,0.0751531751089,0.0720816602697,0.525442083788,0.411476590088,0.107710431976,11
0.238626943268,0.31055541494,0.254264087601,0.0833498653855,0.0635723628954,0.513002869657,0.413694362116,0.104522275819,11
0.232089263367,0.309513120645,0.255126664236,0.0860418030331,0.0710601842616,0.517181176084,0.412877448252,0.104610441295,11
0.22804995816,0.310290624732,0.254491532445,0.0755787424772,0.065032240943,0.534221873791,0.431430041993,0.10294609212,14
0.230178563555,0.304231446035,0.246784618274,0.0857444961915,0.0567684425569,0.53128712061,0.428327480598,0.102786059268,14
0.237659530938,0.305813253671,0.247966680901,0.0888533928654,0.0674038284412,0.534848448465,0.429370291141,0.102996450642,14
0.227776240291,0.3009822357,0.242899131907,0.0864651814753,0.0627394730833,0.519598841598,0.430952462184,0.100632998099,14
% 
% 
% 
