% u
@RELATION anthropometry

@ATTRIBUTE Peaks-HipLeft_KneeLeft REAL
@ATTRIBUTE Valleys-HipLeft_KneeLeft REAL
@ATTRIBUTE Peaks-KneeLeft_AnkleLeft REAL
@ATTRIBUTE Valleys-KneeLeft_AnkleLeft REAL
@ATTRIBUTE Peaks-AnkleLeft_FootLeft REAL
@ATTRIBUTE Valleys-AnkleLeft_FootLeft REAL
@ATTRIBUTE StrideLength REAL
@ATTRIBUTE StrideWidth REAL
@ATTRIBUTE CycleTime REAL
@ATTRIBUTE Velocity REAL
@ATTRIBUTE Name {0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}

@DATA
23.3738664788,-17.4541077309,33.2704606582,3.66828597679,53.6758447251,20.0422571098,1.04382861253,0.149131200067,1.11777777778,0.933842695104,0
27.9609375708,-16.1832888089,31.5574299581,5.36209058481,52.9375353244,27.4243103182,0.734171237252,0.138899622813,0.88125,0.833102113194,0
21.3010904248,-15.4393761159,29.9772279729,2.97780908406,53.7235066815,23.9783680621,0.854465194289,0.142697284075,1.04666666667,0.816368020021,0
24.3414689797,-20.1266101669,33.0228916148,4.36065006964,54.836262433,20.02715363,0.90041895278,0.130357806423,1.1,0.818562684345,0
16.8802892772,-17.8769026635,32.5737661811,3.78301103711,49.6150613589,24.1095928361,0.920297258159,0.157934202153,1.08333333333,0.849505161377,0
20.3631566413,-17.7769417698,30.605920118,5.09728701559,52.6096490871,23.3759500837,0.781049909582,0.123001311779,0.917543859649,0.851239863215,0
22.6021354572,0.374163151228,31.2384887995,2.73038006595,51.1947281431,21.3435274758,1.10574400536,0.0851353350237,1.09333333333,1.01135122442,1
21.5441077707,3.4641926476,32.105605705,3.95253858116,49.1775437789,23.528834824,1.07396218306,0.0853648018083,1.08888888889,0.986291800771,1
22.1185176643,1.0377170672,29.9730946788,2.52672365627,52.0983609217,16.3529458489,1.15577702722,0.0818380364554,1.16904761905,0.988648373592,1
18.766098184,3.81805093109,29.701191443,3.74201194503,53.3883703216,27.7227611622,0.927274777803,0.0996441994871,1.05777777778,0.87662531515,1
19.6098613176,-10.1926183408,35.1317539806,6.96510465309,57.2593941504,17.5943478165,1.3095379162,0.141546859015,1.02666666667,1.27552394435,3
17.7335587528,-13.080577612,36.4487286295,9.98522150786,65.3937133937,19.4422510862,1.25893704093,0.143096984391,1.00512820513,1.25251389276,3
15.0950404474,-13.9300173613,38.5904351427,10.8798146023,61.2684105685,20.0189627029,1.33335774045,0.137021862529,0.961538461538,1.38669205007,3
25.2904491199,-11.4272235995,32.8805974155,8.90049762286,66.9868682992,21.9407682254,1.37235081119,0.124835585859,0.977777777778,1.40354060235,3
17.6763024635,-12.7055313073,38.2826665445,7.44856397682,61.913437805,25.5923870332,1.07597218785,0.129511323397,0.916666666667,1.1737878413,3
19.9244340391,-10.6871017658,37.0876741953,7.19009690124,67.2318099671,24.1140599198,1.32327031664,0.141232907185,1.01111111111,1.30872888459,3
18.295587746,-13.4225035966,36.1389944182,7.57243027256,51.7870965852,19.5904076571,1.00343019351,0.118303175758,1.078125,0.930717860646,5
18.1697704502,-13.2129763292,39.6327480593,8.71983318053,53.2389323611,22.4640624361,0.952393568678,0.118947466176,1.06790123457,0.891836752173,5
20.2268902205,-14.7597478481,40.5426598247,10.4793827941,50.5221647658,21.2447667911,0.813076208559,0.139688064138,0.870512820513,0.934019797755,5
13.0248294224,-12.6732087659,34.9289036763,8.6448161973,49.9356373334,19.5442404394,0.807941278661,0.126879500396,0.98,0.824429876184,6
18.2558641649,-10.7437892448,31.3596282857,8.99843705426,53.8339029848,23.1730100335,0.963051206423,0.107687935097,0.988095238095,0.974654233007,6
