HEAD_X,HEAD_Y,HEAD_Z,SHOULDER_CENTER_X,SHOULDER_CENTER_Y,SHOULDER_CENTER_Z,SHOULDER_LEFT_X,SHOULDER_LEFT_Y,SHOULDER_LEFT_Z,SHOULDER_RIGHT_X,SHOULDER_RIGHT_Y,SHOULDER_RIGHT_Z,SPINE_X,SPINE_Y,SPINE_Z,HIP_CENTER_X,HIP_CENTER_Y,HIP_CENTER_Z,HIP_LEFT_X,HIP_LEFT_Y,HIP_LEFT_Z,HIP_RIGHT_X,HIP_RIGHT_Y,HIP_RIGHT_Z,ELBOW_LEFT_X,ELBOW_LEFT_Y,ELBOW_LEFT_Z,WRIST_LEFT_X,WRIST_LEFT_Y,WRIST_LEFT_Z,HAND_LEFT_X,HAND_LEFT_Y,HAND_LEFT_Z,ELBOW_RIGHT_X,ELBOW_RIGHT_Y,ELBOW_RIGHT_Z,WRIST_RIGHT_X,WRIST_RIGHT_Y,WRIST_RIGHT_Z,HAND_RIGHT_X,HAND_RIGHT_Y,HAND_RIGHT_Z,KNEE_LEFT_X,KNEE_LEFT_Y,KNEE_LEFT_Z,ANKLE_LEFT_X,ANKLE_LEFT_Y,ANKLE_LEFT_Z,FOOT_LEFT_X,FOOT_LEFT_Y,FOOT_LEFT_Z,KNEE_RIGHT_X,KNEE_RIGHT_Y,KNEE_RIGHT_Z,ANKLE_RIGHT_X,ANKLE_RIGHT_Y,ANKLE_RIGHT_Z,FOOT_RIGHT_X,FOOT_RIGHT_Y,FOOT_RIGHT_Z
0.301382,0.551332,2.607493,0.222984,0.409571,2.603579,0.168998,0.28365,2.475904,0.345345,0.302266,2.650823,0.223908,0.005105,2.6261,0.261963,-0.072023,2.593397,0.205724,-0.123586,2.639221,0.326752,-0.124403,2.542165,0.220624,0.0931,2.347499,0.357427,-0.00643,2.262894,0.412529,-0.047563,2.232335,0.367926,0.090012,2.731865,0.326876,-0.128671,2.811661,0.354761,-0.206384,2.788831,0.107418,-0.404007,2.50816,-0.066447,-0.696002,2.501845,-0.032155,-0.72313,2.458462,0.346277,-0.459744,2.637922,0.44734,-0.718625,2.644573,0.514669,-0.758267,2.64524
0.318429,0.538294,2.614361,0.244224,0.377155,2.609602,0.184454,0.27778,2.480936,0.364158,0.279692,2.657134,0.242184,-0.000313,2.638066,0.278926,-0.075768,2.606671,0.227447,-0.131778,2.658292,0.345187,-0.128746,2.55226,0.223872,0.101187,2.354246,0.365729,0.000953,2.268199,0.422511,-0.040024,2.238378,0.386783,0.067377,2.738157,0.348565,-0.151644,2.815598,0.375227,-0.227805,2.794412,0.120277,-0.401397,2.507283,-0.070595,-0.690381,2.500552,-0.030999,-0.715311,2.45433,0.361028,-0.461686,2.641963,0.425708,-0.714579,2.646492,0.476219,-0.766101,2.646011
0.3296,0.531492,2.61921,0.254691,0.366404,2.613096,0.199208,0.275037,2.486183,0.375862,0.26931,2.661469,0.255765,-0.002628,2.644572,0.293382,-0.076682,2.614683,0.246233,-0.133237,2.666101,0.357593,-0.130361,2.558405,0.2255,0.107988,2.362147,0.371036,0.006618,2.273176,0.428633,-0.034685,2.243781,0.398507,0.056997,2.74247,0.36145,-0.161879,2.818525,0.387854,-0.237577,2.798285,0.152372,-0.402887,2.506419,-0.068255,-0.676983,2.502128,-0.022872,-0.701635,2.453676,0.369701,-0.460539,2.644741,0.405786,-0.713883,2.650459,0.442183,-0.756684,2.620185
0.347488,0.540175,2.626767,0.274292,0.397408,2.621073,0.211313,0.274337,2.490796,0.393938,0.284305,2.669239,0.266658,0.000958,2.644672,0.303544,-0.073394,2.615123,0.264217,-0.10521,2.598661,0.361001,-0.110731,2.586134,0.226703,0.112392,2.368249,0.37461,0.010084,2.277569,0.431567,-0.031734,2.248373,0.416651,0.071952,2.750267,0.379975,-0.147192,2.824752,0.40706,-0.221537,2.805413,0.20708,-0.404301,2.505873,-0.042071,-0.647271,2.505384,0.006428,-0.674054,2.454676,0.374127,-0.462714,2.646619,0.382241,-0.714534,2.654888,0.403394,-0.764373,2.631905
0.357834,0.54524,2.631348,0.283788,0.414482,2.624371,0.221985,0.275693,2.494763,0.405215,0.294956,2.673767,0.281018,0.028466,2.63958,0.317036,-0.04079,2.609386,0.28578,-0.079543,2.592434,0.361178,-0.081659,2.603814,0.227541,0.115116,2.373159,0.375876,0.011632,2.282023,0.430857,-0.032029,2.253309,0.427955,0.08247,2.754834,0.391337,-0.136935,2.828441,0.418777,-0.210502,2.809446,0.247438,-0.403748,2.502787,-0.011044,-0.629822,2.50931,0.037467,-0.658664,2.457887,0.372567,-0.474256,2.653232,0.34815,-0.723684,2.660532,0.368701,-0.776349,2.641441
0.364632,0.548992,2.634555,0.288573,0.42315,2.626084,0.228892,0.276899,2.497537,0.41241,0.302645,2.67671,0.244921,0.052261,2.601041,0.265624,-0.016402,2.558002,0.22282,-0.056009,2.511604,0.298775,-0.069138,2.576851,0.228422,0.116703,2.376565,0.371832,0.004471,2.288867,0.412853,-0.052173,2.263497,0.435166,0.089989,2.757824,0.398493,-0.129628,2.830934,0.426158,-0.202687,2.81204,0.26834,-0.403092,2.500909,0.011637,-0.622762,2.512015,0.025184,-0.690793,2.491827,0.244922,-0.462116,2.555862,0.308085,-0.717218,2.657289,0.322292,-0.779531,2.652935
0.369443,0.552253,2.637042,0.291404,0.428337,2.627288,0.23329,0.277924,2.499484,0.417071,0.30814,2.678817,0.234971,0.060886,2.585098,0.257741,-0.007293,2.539686,0.2161,-0.046566,2.481192,0.292183,-0.063117,2.572413,0.231573,0.11215,2.384556,0.353123,-0.0164,2.29542,0.38038,-0.076201,2.269914,0.439849,0.095382,2.759966,0.403106,-0.124304,2.832795,0.430906,-0.197161,2.813908,0.285434,-0.402127,2.499626,0.023111,-0.616838,2.509292,0.044909,-0.694378,2.50368,0.239569,-0.459569,2.535858,0.275268,-0.718793,2.666177,0.308029,-0.780781,2.658935
0.372519,0.554684,2.638653,0.292822,0.431917,2.628017,0.235976,0.278921,2.501024,0.420056,0.312185,2.680263,0.229254,0.064714,2.576943,0.251107,-0.003405,2.52951,0.208793,-0.042567,2.466631,0.284194,-0.062311,2.563173,0.232575,0.103302,2.393383,0.323719,-0.038994,2.303739,0.341621,-0.098522,2.275058,0.442854,0.099364,2.76144,0.406017,-0.120299,2.834116,0.433932,-0.193105,2.815193,0.298493,-0.401167,2.49969,0.086212,-0.646857,2.521829,0.099177,-0.724517,2.519687,0.223964,-0.415724,2.615797,0.224599,-0.711925,2.66539,0.267959,-0.77331,2.667495
0.374192,0.555517,2.639587,0.279708,0.400647,2.623772,0.236502,0.280507,2.50271,0.417508,0.302517,2.679824,0.214186,0.059053,2.571206,0.235514,-0.007338,2.523575,0.188339,-0.04674,2.465012,0.259439,-0.07407,2.553648,0.227097,0.089956,2.403127,0.295272,-0.056339,2.30585,0.299578,-0.121815,2.272957,0.440348,0.089693,2.761045,0.403071,-0.129984,2.833803,0.431093,-0.203056,2.814577,0.307609,-0.400269,2.500059,0.138937,-0.672647,2.524368,0.166427,-0.749409,2.527465,0.206884,-0.402062,2.629117,0.209225,-0.711214,2.665918,0.251721,-0.772192,2.668811
0.374147,0.556489,2.640095,0.274299,0.405065,2.626734,0.232611,0.283294,2.505156,0.416101,0.305016,2.681746,0.215603,0.052549,2.590445,0.242471,-0.017346,2.551512,0.196388,-0.053923,2.504369,0.275403,-0.090473,2.582676,0.210318,0.070354,2.410655,0.248754,-0.085379,2.312627,0.250009,-0.154537,2.281409,0.438953,0.092194,2.76299,0.41333,-0.121183,2.844255,0.442693,-0.172623,2.853428,0.316945,-0.399627,2.49975,0.199353,-0.704458,2.518873,0.240731,-0.765641,2.511976,0.204054,-0.399849,2.653518,0.158573,-0.69505,2.634372,0.168402,-0.765137,2.660698
