% u
@RELATION anthropometry

@ATTRIBUTE ShoulderCenter_ShoulderRight REAL
@ATTRIBUTE ShoulderRight_ElbowRight REAL
@ATTRIBUTE ElbowRight_WristRight REAL
@ATTRIBUTE WristRight_HandRight REAL
@ATTRIBUTE HipCenter_HipRight REAL
@ATTRIBUTE HipRight_KneeRight REAL
@ATTRIBUTE KneeRight_AnkleRight REAL
@ATTRIBUTE AnkleRight_FootRight REAL
@ATTRIBUTE Name {0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16}

@DATA
0.278842672141,0.320110467913,0.277923082001,0.0826276353646,0.0920894427931,0.586035903147,0.389665027422,0.11298645806,11
0.214330359371,0.307975467747,0.289463410464,0.0902897086711,0.073450296108,0.555666976438,0.39436997039,0.103886067235,11
0.229610195398,0.293728138659,0.264885915785,0.0886557676668,0.0677049520328,0.552240715219,0.394332478021,0.101463416815,11
0.200996403922,0.301620580447,0.269564227853,0.0913693452326,0.0757651148696,0.550389718122,0.394334567041,0.0995708607543,11
0.211232847419,0.287177748072,0.279500421133,0.0785640233464,0.0591941761358,0.453429635448,0.386924075612,0.0957812015771,12
0.226043759382,0.309188616654,0.270825484175,0.0730370836786,0.0584908362923,0.471060047868,0.380154022019,0.100635527715,12
0.225977173789,0.283548487811,0.274133485595,0.0721855066786,0.0537613197573,0.447636056626,0.382067245092,0.0951302736622,12
0.250168842644,0.299330783811,0.260552333809,0.0741886468632,0.0818587468534,0.43061646922,0.381707767443,0.102084045089,12
0.217503294669,0.23841833389,0.233618316317,0.0736673546309,0.0662023469893,0.492212285114,0.362651192152,0.0934892304145,13
0.216377600355,0.287191098229,0.256221608891,0.0712454641301,0.0749554862268,0.432205284012,0.360581957664,0.0825359517188,13
0.195126430663,0.235600767159,0.23290163785,0.0786194258615,0.0555884615988,0.474606344772,0.364857842152,0.0813337728099,13
0.215225190115,0.281241876641,0.258035137076,0.106029592113,0.0731268682596,0.429018842897,0.356795286599,0.0826022278217,13
0.187789035073,0.331862136743,0.302055715766,0.0818547154741,0.0681633302111,0.542084623025,0.413032080185,0.100252042747,14
0.200066790798,0.303403342357,0.290662058483,0.0852092048408,0.0622369733682,0.52986903455,0.422555889567,0.102797090878,14
0.0884084581225,0.29867148233,0.298882709607,0.0923110515755,0.0663457134373,0.543007603954,0.415864301443,0.101092746459,14
0.160203596597,0.290941858174,0.277868592388,0.093069659601,0.0640561568336,0.528922861478,0.413077261257,0.100800682332,14
0.208826726511,0.231909426869,0.303258803574,0.0649854415544,0.0809123570974,0.473756111905,0.380448909583,0.0985694016942,15
0.173288676322,0.222821431407,0.298408353802,0.0742689925251,0.0736428377176,0.507874160837,0.363854088733,0.0912978363779,15
0.221007977732,0.238981819185,0.301851694257,0.0672423922184,0.0750385440849,0.474500158892,0.370908585687,0.0932089236838,15
0.205194991077,0.235321646236,0.289489574713,0.064883717488,0.0799819204561,0.467245384938,0.370761330277,0.0969073541177,15
0.215684878236,0.229050536736,0.298375986582,0.066526573241,0.0864691260486,0.471541494781,0.359497713713,0.0867673606175,15
0.220338826857,0.238760146574,0.292981331945,0.0685851740695,0.0716265735568,0.470590469846,0.370516915569,0.0954813643644,15
0.216193899804,0.228989998614,0.300623239071,0.065389798297,0.0841676959705,0.472730628759,0.363079339437,0.0892196871571,15
0.249092394293,0.298721121852,0.283612445421,0.0762777406914,0.080073720596,0.538174581266,0.403872994906,0.107991638017,16
0.181468888811,0.298859895812,0.30174870432,0.0879751925092,0.0940397179024,0.535088020081,0.412201592976,0.0996821270094,16
0.197949993141,0.300591595349,0.273266208576,0.0739070169878,0.0774347485372,0.510621827445,0.400330390939,0.102064788179,16
0.238435464377,0.284022083973,0.283043042257,0.0855162842039,0.068739070499,0.521537438457,0.406206394358,0.11110385983,16
% 
% 
% 
